name,pic_url,birth,season,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
강민성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69064.jpg,1999,2025,KT,0.077,10,16,13,0,1,0,0,0,1,0,0,0,3,0,5,0,0.077,0.25,0
강민호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/74540.jpg,1985,2025,삼성,0.273,39,149,132,9,36,9,0,2,51,24,1,2,14,1,21,3,0.386,0.342,1
강백호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68050.jpg,1999,2025,KT,0.228,32,140,127,12,29,6,0,6,53,16,1,1,12,1,26,5,0.417,0.3,1
강성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54567.jpg,2005,2025,롯데,-,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,-,0
강승호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63123.jpg,1994,2025,두산,0.215,40,167,149,22,32,10,2,2,52,14,4,1,14,3,50,3,0.349,0.293,5
강진성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62925.jpg,1993,2025,키움,0.182,6,13,11,1,2,0,0,0,2,1,0,0,2,0,1,2,0.182,0.308,0
강현우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50066.jpg,2001,2025,KT,0.167,10,15,12,0,2,0,0,0,2,1,0,0,3,0,4,0,0.167,0.333,2
고명준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51868.jpg,2002,2025,SSG,0.26,39,141,131,7,34,8,0,2,48,16,1,0,8,1,36,3,0.366,0.305,2
고승민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69517.jpg,2000,2025,롯데,0.287,33,145,129,16,37,4,1,1,46,9,2,1,13,0,22,4,0.357,0.35,4
고영우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54344.jpg,2001,2025,키움,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
구본혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69100.jpg,1997,2025,LG,0.229,36,95,83,9,19,4,1,0,25,9,0,2,8,1,13,2,0.301,0.304,1
구승민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63543.jpg,1990,2025,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
구자욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62404.jpg,1993,2025,삼성,0.265,41,174,147,33,39,9,0,8,72,27,0,0,21,1,26,2,0.49,0.353,1
권광민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52769.jpg,1997,2025,한화,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
권동진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51003.jpg,1998,2025,KT,0.333,28,92,78,10,26,3,1,0,31,7,0,1,11,0,23,1,0.397,0.411,5
권혁빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55371.jpg,2005,2025,키움,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
권희동,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63963.jpg,1990,2025,NC,0.264,35,136,106,17,28,9,0,2,43,10,0,2,22,7,18,3,0.406,0.422,1
김건우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51867.jpg,2002,2025,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
김건형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51005.jpg,1996,2025,KT,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김건희,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53312.jpg,2004,2025,키움,0.173,17,54,52,5,9,2,0,1,14,3,0,0,1,0,23,0,0.269,0.185,1
김규성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66614.jpg,1997,2025,KIA,0.228,34,64,57,8,13,1,0,0,14,6,2,0,5,0,19,0,0.246,0.29,3
김기연,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66112.jpg,1997,2025,두산,0.305,28,68,59,7,18,3,0,1,24,11,0,0,6,0,14,0,0.407,0.364,1
김대유,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/60337.jpg,1991,2025,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
김도영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52605.jpg,2003,2025,KIA,0.321,15,59,53,7,17,5,0,2,28,15,0,0,5,0,10,2,0.528,0.373,0
김동준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52267.jpg,2002,2025,두산,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김동헌,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53344.jpg,2004,2025,키움,0.205,19,44,39,3,8,1,0,0,9,3,0,0,4,1,13,0,0.231,0.295,1
김동혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52504.jpg,2000,2025,롯데,0.667,15,3,3,2,2,1,0,0,3,0,3,1,0,0,0,0,1,0.667,0
김민석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53554.jpg,2004,2025,두산,0.212,21,54,52,3,11,1,1,0,14,3,0,1,2,0,15,1,0.269,0.241,1
김민성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/77564.jpg,1988,2025,롯데,0.221,29,89,77,9,17,2,0,1,22,13,0,1,10,2,10,1,0.286,0.326,0
김민수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67504.jpg,1998,2025,LG,0.167,3,8,6,0,1,0,0,0,1,1,1,0,1,0,3,0,0.167,0.25,0
김민혁1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64004.jpg,1995,2025,KT,0.323,40,166,158,20,51,6,0,0,57,11,5,1,5,2,14,7,0.361,0.349,0
김민혁2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65269.jpg,1996,2025,두산,0.2,4,6,5,0,1,0,0,0,1,0,0,0,1,0,3,0,0.2,0.333,0
김병준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52002.jpg,2003,2025,KT,0.25,6,4,4,1,1,0,0,0,1,0,0,0,0,0,2,0,0.25,0.25,0
김상수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79402.jpg,1990,2025,KT,0.217,19,74,60,7,13,3,0,1,19,3,1,0,14,0,6,1,0.317,0.365,2
김서현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53754.jpg,2004,2025,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
김석환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67610.jpg,1999,2025,KIA,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
김선빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78603.jpg,1989,2025,KIA,0.289,27,105,90,10,26,8,0,0,34,13,1,0,13,0,10,2,0.378,0.375,2
김성욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62934.jpg,1993,2025,NC,0.111,5,9,9,0,1,0,0,0,1,0,0,1,0,0,5,0,0.111,0.111,0
김성윤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67449.jpg,1999,2025,삼성,0.336,40,149,125,28,42,7,2,2,59,17,10,3,18,1,17,1,0.472,0.421,0
김성현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76802.jpg,1987,2025,SSG,0.229,31,86,70,11,16,2,0,1,21,7,1,1,11,0,10,2,0.3,0.329,3
김수윤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67900.jpg,1998,2025,SSG,0.091,7,12,11,0,1,0,0,0,1,0,0,0,0,1,4,0,0.091,0.167,2
김승일,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50711.jpg,2001,2025,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
김시훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68928.jpg,1999,2025,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
김영우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55167.jpg,2005,2025,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
김영웅,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52430.jpg,2003,2025,삼성,0.269,33,130,119,15,32,4,1,6,56,23,1,1,8,1,38,3,0.471,0.315,4
김웅빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65898.jpg,1996,2025,키움,0.125,6,21,16,1,2,0,0,0,2,0,0,0,5,0,2,1,0.125,0.333,0
김원중,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62528.jpg,1993,2025,롯데,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
김인태,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63257.jpg,1994,2025,두산,0.298,32,70,57,6,17,4,0,1,24,8,0,0,13,0,12,0,0.421,0.429,0
김재성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65132.jpg,1996,2025,삼성,0,3,7,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0.143,0
김재혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52424.jpg,1999,2025,삼성,0,5,3,2,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0.333,0
김재현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62332.jpg,1993,2025,키움,0.224,30,71,67,7,15,4,0,0,19,3,0,0,1,2,16,1,0.284,0.257,3
김재환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78224.jpg,1988,2025,두산,0.26,34,146,127,18,33,3,1,5,53,24,0,0,17,2,28,0,0.417,0.356,0
김주원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51907.jpg,2002,2025,NC,0.223,37,158,139,24,31,5,1,4,50,16,5,3,14,1,32,2,0.36,0.297,7
김지찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50458.jpg,2001,2025,삼성,0.354,18,74,65,18,23,3,1,0,28,6,7,0,7,2,5,0,0.431,0.432,0
김진성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/75867.jpg,1985,2025,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
김찬형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66917.jpg,1997,2025,SSG,0.182,5,11,11,1,2,0,0,0,2,0,0,0,0,0,2,0,0.182,0.182,1
김창평,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69825.jpg,2000,2025,SSG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
김태군,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78122.jpg,1989,2025,KIA,0.208,25,62,53,4,11,4,0,0,15,5,0,0,6,1,3,0,0.283,0.295,3
김태근,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69207.jpg,1996,2025,삼성,0.333,8,13,12,1,4,0,0,0,4,0,0,0,1,0,4,0,0.333,0.385,0
김태연,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66704.jpg,1997,2025,한화,0.243,35,122,111,14,27,3,0,1,33,8,2,1,6,3,29,2,0.297,0.3,1
김태진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64984.jpg,1995,2025,키움,0.265,41,130,117,13,31,6,1,3,48,11,0,0,11,0,23,4,0.41,0.326,7
김태훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65040.jpg,1996,2025,삼성,0.5,2,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0
김한별,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50902.jpg,2001,2025,NC,0.455,10,14,11,4,5,0,0,0,5,2,1,0,1,1,2,0,0.455,0.538,1
김헌곤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/61404.jpg,1988,2025,삼성,0.286,32,97,91,13,26,3,0,2,35,5,2,1,4,2,13,3,0.385,0.33,0
김현수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76290.jpg,1988,2025,LG,0.293,41,146,123,18,36,7,0,1,46,22,0,0,21,2,18,2,0.374,0.404,1
김형준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68912.jpg,1999,2025,NC,0.24,33,112,100,14,24,3,1,9,56,26,1,0,10,0,33,1,0.56,0.306,2
김호령,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65653.jpg,1992,2025,KIA,0,3,7,3,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0.4,0
김호진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54460.jpg,2005,2025,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
김휘집,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51344.jpg,2002,2025,NC,0.18,36,126,111,16,20,5,0,4,37,11,0,0,11,3,27,1,0.333,0.272,9
나성범,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62947.jpg,1989,2025,KIA,0.226,26,110,93,13,21,5,0,4,38,16,0,0,16,1,21,5,0.409,0.345,0
나승엽,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51551.jpg,2002,2025,롯데,0.27,43,181,152,20,41,9,1,7,73,30,0,0,26,2,25,3,0.48,0.381,3
노시환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69737.jpg,2000,2025,한화,0.28,41,175,157,30,44,7,1,10,83,29,7,3,15,3,41,3,0.529,0.354,4
데이비슨,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54944.jpg,1991,2025,NC,0.323,27,108,93,16,30,6,0,7,57,23,0,0,8,3,24,3,0.613,0.38,1
도태훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66965.jpg,1993,2025,NC,0.2,28,51,40,4,8,1,1,0,11,2,2,0,5,1,7,2,0.275,0.304,2
디아즈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54400.jpg,1996,2025,삼성,0.298,42,176,161,24,48,9,0,16,105,43,0,0,13,0,32,2,0.652,0.347,1
레이예스,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54529.jpg,1994,2025,롯데,0.31,43,190,174,22,54,18,0,3,81,29,3,1,12,1,23,7,0.466,0.353,1
로하스,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67025.jpg,1990,2025,KT,0.24,42,185,150,25,36,8,0,6,62,18,0,1,32,1,39,4,0.413,0.373,1
류지혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62234.jpg,1994,2025,삼성,0.311,40,140,119,18,37,4,0,0,41,12,5,2,14,3,21,3,0.345,0.391,1
류진욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65949.jpg,1996,2025,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
류현준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54219.jpg,2005,2025,두산,0.167,7,6,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0.167,0.167,0
맥브룸,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55844.jpg,1992,2025,SSG,0.273,16,60,55,8,15,3,0,4,30,11,0,0,5,0,19,2,0.545,0.333,0
문보경,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69102.jpg,2000,2025,LG,0.3,41,179,150,28,45,6,0,8,75,33,0,0,25,2,31,4,0.5,0.402,6
문상철,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64007.jpg,1991,2025,KT,0.231,30,102,91,7,21,3,1,1,29,5,0,1,9,1,22,3,0.319,0.304,0
문성주,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68119.jpg,1997,2025,LG,0.282,34,115,103,13,29,4,0,0,33,14,2,1,11,0,13,2,0.32,0.348,0
문정빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52121.jpg,2003,2025,LG,0.105,14,22,19,2,2,0,0,1,5,3,0,0,1,2,7,0,0.263,0.227,0
문현빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53764.jpg,2004,2025,한화,0.313,39,148,134,17,42,8,0,7,71,27,7,1,8,3,23,0,0.53,0.358,0
박건우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79215.jpg,1990,2025,NC,0.383,18,57,47,6,18,6,0,0,24,9,0,1,7,1,4,1,0.511,0.456,1
박계범,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64468.jpg,1996,2025,두산,0.2,23,62,55,8,11,3,1,0,16,6,0,0,4,0,18,3,0.291,0.254,1
박동원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79365.jpg,1990,2025,LG,0.315,41,152,127,26,40,5,0,10,75,28,2,0,20,2,28,3,0.591,0.411,1
박명근,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53139.jpg,2004,2025,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
박민석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69056.jpg,2000,2025,KT,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
