name,pic_url,birth,현재_나이,예측_은퇴_나이,predict_year,last_season,커리어_시즌수
강민성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69064.jpg,1999,26,27.99,2027,2025,3
강민호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/74540.jpg,1985,40,40,2025,2025,22
강백호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68050.jpg,1999,26,28.49,2027,2025,8
강성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54567.jpg,2005,20,28.22,2033,2025,2
강승호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63123.jpg,1994,31,31,2025,2025,9
강진성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62925.jpg,1993,32,32,2025,2025,10
강현우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50066.jpg,2001,24,28.21,2029,2025,4
고명준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51868.jpg,2002,23,28.37,2030,2025,4
고승민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69517.jpg,2000,25,28.46,2028,2025,5
고영우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54344.jpg,2001,24,28.38,2029,2025,2
구본혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69100.jpg,1997,28,28.38,2025,2025,5
구승민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63543.jpg,1990,35,35.91,2026,2025,5
구자욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62404.jpg,1993,32,32,2025,2025,11
권광민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52769.jpg,1997,28,28.21,2025,2025,4
권동진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51003.jpg,1998,27,28.26,2026,2025,4
권혁빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55371.jpg,2005,20,28.15,2033,2025,1
권희동,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63963.jpg,1990,35,35,2025,2025,12
김건우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51867.jpg,2002,23,29.34,2031,2025,1
김건형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51005.jpg,1996,29,29,2025,2025,3
김건희,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53312.jpg,2004,21,28.42,2032,2025,3
김규성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66614.jpg,1997,28,28.36,2025,2025,6
김기연,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66112.jpg,1997,28,28.21,2025,2025,5
김대유,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/60337.jpg,1991,34,34,2025,2025,1
김도영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52605.jpg,2003,22,28.48,2031,2025,4
김동준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52267.jpg,2002,23,28.13,2030,2025,1
김동헌,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53344.jpg,2004,21,28.39,2032,2025,3
김동혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52504.jpg,2000,25,28.14,2028,2025,3
김민석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53554.jpg,2004,21,28.43,2032,2025,3
김민성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/77564.jpg,1988,37,37,2025,2025,19
김민수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67504.jpg,1998,27,28.13,2026,2025,8
김민혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64004.jpg,1996,29,29,2025,2025,16
김병준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65269.jpg,2003,22,28.01,2031,2025,3
김상수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52002.jpg,1990,35,35,2025,2025,17
김서현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79402.jpg,2004,21,29.34,2033,2025,3
김석환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53754.jpg,1999,26,27.98,2027,2025,5
김선빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67610.jpg,1989,36,36,2025,2025,17
김성욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78603.jpg,1993,32,32,2025,2025,11
김성윤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62934.jpg,1999,26,28.23,2027,2025,8
김성현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67449.jpg,1987,38,38,2025,2025,18
김수윤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76802.jpg,1998,27,27.97,2026,2025,5
김승일,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67900.jpg,2001,24,29.34,2030,2025,1
김시훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50711.jpg,1999,26,29.34,2028,2025,2
김영우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68928.jpg,2005,20,29.34,2034,2025,1
김영웅,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55167.jpg,2003,22,28.45,2031,2025,4
김웅빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52430.jpg,1996,29,29,2025,2025,9
김원중,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65898.jpg,1993,32,32.1,2025,2025,6
김인태,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62528.jpg,1994,31,31,2025,2025,10
김재성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63257.jpg,1996,29,29,2025,2025,7
김재혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65132.jpg,1999,26,27.99,2027,2025,3
김재현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52424.jpg,1993,32,32,2025,2025,10
김재환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62332.jpg,1988,37,37,2025,2025,15
김주원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78224.jpg,2002,23,28.43,2030,2025,5
김지찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51907.jpg,2001,24,28.43,2029,2025,6
김진성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50458.jpg,1985,40,40.74,2026,2025,11
김찬형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/75867.jpg,1997,28,28.24,2025,2025,8
김창평,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66917.jpg,2000,25,28,2028,2025,5
김태군,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69825.jpg,1989,36,36,2025,2025,17
김태근,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78122.jpg,1996,29,29,2025,2025,5
김태연,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69207.jpg,1997,28,28.43,2025,2025,8
김태진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66704.jpg,1995,30,30,2025,2025,10
김태훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64984.jpg,1996,29,29,2025,2025,7
김한별,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65040.jpg,2001,24,28.23,2029,2025,4
김헌곤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50902.jpg,1988,37,37,2025,2025,13
김현수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/61404.jpg,1988,37,37,2025,2025,18
김형준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76290.jpg,1999,26,28.43,2027,2025,6
김호령,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68912.jpg,1992,33,33,2025,2025,9
김호진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65653.jpg,2005,20,28,2033,2025,2
김휘집,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54460.jpg,2002,23,28.42,2030,2025,5
나성범,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51344.jpg,1989,36,36,2025,2025,13
나승엽,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62947.jpg,2002,23,28.43,2030,2025,3
노시환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51551.jpg,2000,25,28.45,2028,2025,7
데이비슨,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69737.jpg,1991,34,34,2025,2025,2
도태훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54944.jpg,1993,32,32,2025,2025,9
디아즈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66965.jpg,1996,29,29,2025,2025,2
레이예스,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54400.jpg,1994,31,31,2025,2025,2
로하스,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54529.jpg,1990,35,35,2025,2025,6
류지혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67025.jpg,1994,31,31,2025,2025,12
류진욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62234.jpg,1996,29,29.44,2025,2025,5
류현준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65949.jpg,2005,20,28.07,2033,2025,2
맥브룸,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54219.jpg,1992,33,33,2025,2025,1
문보경,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55844.jpg,2000,25,28.45,2028,2025,5
문상철,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69102.jpg,1991,34,34,2025,2025,9
문성주,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64007.jpg,1997,28,28.46,2025,2025,6
문정빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68119.jpg,2003,22,27.98,2031,2025,1
문현빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52121.jpg,2004,21,28.47,2032,2025,3
박건우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53764.jpg,1990,35,35,2025,2025,14
박계범,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79215.jpg,1996,29,29,2025,2025,9
박동원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64468.jpg,1990,35,35,2025,2025,14
박명근,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79365.jpg,2004,21,29.34,2033,2025,3
박민석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53139.jpg,2000,25,27.96,2028,2025,4
박민우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69056.jpg,1993,32,32,2025,2025,13
박병호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62907.jpg,1986,39,39,2025,2025,17
박성한,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/75125.jpg,1998,27,28.43,2026,2025,8
박세혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67893.jpg,1990,35,35,2025,2025,12
박수종,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62244.jpg,1999,26,28.31,2027,2025,3
박승욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52305.jpg,1992,33,33,2025,2025,12
박시원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62802.jpg,2001,24,28.04,2029,2025,4
박신지,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50996.jpg,1999,26,29.34,2028,2025,3
박영빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68249.jpg,1997,28,28.04,2025,2025,3
박윤성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50906.jpg,2004,21,29.34,2033,2025,1
박재엽,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53301.jpg,2006,19,28.15,2034,2025,1
박재현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55563.jpg,2006,19,28.06,2034,2025,1
박정우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55636.jpg,1998,27,28.25,2026,2025,5
박주성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67609.jpg,2000,25,29.34,2029,2025,2
박주홍,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69328.jpg,2001,24,28.08,2029,2025,6
박준순,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50357.jpg,2006,19,27.97,2034,2025,1
박준영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55252.jpg,1997,28,28.42,2025,2025,7
박준우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66928.jpg,2005,20,29.34,2034,2025,1
박지환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54503.jpg,2005,20,28.43,2033,2025,2
박지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54805.jpg,2000,25,28.1,2028,2025,4
박진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50204.jpg,1999,26,29.34,2028,2025,1
박찬호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69594.jpg,1995,30,30,2025,2025,10
박한결,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64646.jpg,2004,21,28.06,2032,2025,3
박해민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53992.jpg,1990,35,35,2025,2025,13
배정대,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62415.jpg,1995,30,30,2025,2025,10
배찬승,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64166.jpg,2006,19,29.34,2035,2025,1
변상권,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55455.jpg,1997,28,28.46,2025,2025,4
변우혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68305.jpg,2000,25,28.42,2028,2025,5
서건창,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69727.jpg,1989,36,36,2025,2025,15
서유신,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78168.jpg,2000,25,28.13,2028,2025,1
서호철,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53309.jpg,1996,29,29,2025,2025,5
석정우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69995.jpg,1999,26,28,2027,2025,2
손성빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52804.jpg,2002,23,28.26,2030,2025,4
손아섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51528.jpg,1988,37,37,2025,2025,19
손용준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/77532.jpg,2000,25,28.17,2028,2025,1
손주환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54156.jpg,2002,23,29.34,2031,2025,1
손호영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54904.jpg,1994,31,31,2025,2025,6
송민섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50150.jpg,1991,34,34,2025,2025,9
송성문,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64012.jpg,1996,29,29,2025,2025,9
송승환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65357.jpg,2000,25,28.01,2028,2025,5
송지후,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69203.jpg,2005,20,28.14,2033,2025,2
송찬의,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54394.jpg,1999,26,28.05,2027,2025,4
신민재,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68110.jpg,1996,29,29,2025,2025,7
신범수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65207.jpg,1998,27,27.97,2026,2025,6
심우준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66662.jpg,1995,30,30,2025,2025,10
심재훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64006.jpg,2006,19,28.05,2034,2025,1
안상현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55438.jpg,1997,28,28.28,2025,2025,7
안주형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66864.jpg,1993,32,32,2025,2025,7
